file_name,class,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density,laplacian_var,mean_r,mean_g,mean_b,error
DPP0012.TIF,Canon_60D,480.0,270.0,1.778,238.72,115.127,52.972,-0.336,-1.033,5.191,0.141,749.145,116.62,114.28,115.64,
DPP0012_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0022.TIF,Canon_60D,480.0,270.0,1.778,196.99,110.162,29.505,-1.342,0.874,4.25,0.034,54.315,131.09,101.02,102.3,
DPP0022_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0033.TIF,Canon_60D,480.0,270.0,1.778,263.56,108.92,44.39,0.184,-0.999,5.079,0.164,874.616,107.8,109.96,106.54,
DPP0033_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0086.TIF,Canon_60D,480.0,270.0,1.778,241.16,132.575,61.182,0.376,-0.969,5.248,0.132,868.12,133.82,133.22,126.01,
DPP0086_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0093.TIF,Canon_60D,480.0,270.0,1.778,239.85,126.647,35.487,-0.21,-1.051,4.758,0.079,406.519,127.84,128.06,116.2,
DPP0093_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0100.TIF,Canon_60D,480.0,270.0,1.778,220.54,119.587,41.133,0.303,-0.586,5.002,0.075,473.341,117.98,121.5,113.97,
DPP0100_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0122.TIF,Canon_60D,480.0,270.0,1.778,340.68,114.071,59.555,0.315,-1.197,5.298,0.209,1697.103,116.6,117.16,91.5,
DPP0122_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0173.TIF,Canon_60D,480.0,270.0,1.778,236.45,118.139,51.965,0.237,-1.372,5.048,0.093,568.06,116.44,120.69,109.57,
DPP0173_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0183.TIF,Canon_60D,480.0,270.0,1.778,319.28,123.994,47.137,0.123,-0.275,5.222,0.17,1078.92,120.8,127.75,113.01,
DPP0183_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0219.TIF,Canon_60D,480.0,270.0,1.778,290.93,118.269,51.41,0.232,-1.345,5.11,0.12,694.125,114.22,122.59,106.66,
DPP0219_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0243.TIF,Canon_60D,480.0,270.0,1.778,239.42,144.97,47.701,-0.383,-1.012,5.123,0.118,758.042,140.67,145.85,151.66,
DPP0243_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0251.TIF,Canon_60D,480.0,270.0,1.778,261.04,106.876,47.146,1.336,1.939,4.935,0.095,552.086,108.43,109.04,91.69,
DPP0251_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0308.TIF,Canon_60D,480.0,270.0,1.778,227.03,121.495,51.526,0.917,-0.246,5.025,0.067,527.017,120.93,124.6,106.96,
DPP0308_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0331.TIF,Canon_60D,480.0,270.0,1.778,305.93,134.99,60.894,0.556,-0.561,5.205,0.183,1981.782,131.49,138.37,126.78,
DPP0331_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0340.TIF,Canon_60D,480.0,270.0,1.778,233.24,121.971,25.977,-0.959,2.796,4.452,0.056,462.454,127.61,121.89,107.51,
DPP0340_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0405.TIF,Canon_60D,480.0,270.0,1.778,260.1,110.151,46.034,-0.099,-1.166,5.023,0.159,945.806,111.62,110.6,104.0,
DPP0405_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0445.TIF,Canon_60D,480.0,270.0,1.778,356.18,148.624,48.143,-0.11,-0.669,5.259,0.24,2239.177,152.01,154.96,107.14,
DPP0445_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0454.TIF,Canon_60D,480.0,270.0,1.778,289.93,112.0,58.953,0.175,-0.659,5.23,0.17,1525.255,114.99,113.33,97.27,
DPP0454_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0478.TIF,Canon_60D,480.0,270.0,1.778,317.25,112.934,47.332,-0.104,-0.903,5.21,0.175,1126.107,109.02,117.17,101.41,
DPP0478_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0519.TIF,Canon_60D,480.0,270.0,1.778,338.64,118.662,47.338,0.472,-0.248,5.214,0.193,927.623,115.69,124.17,98.08,
DPP0519_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0526.TIF,Canon_60D,480.0,270.0,1.778,296.3,106.353,37.233,0.657,0.647,4.995,0.127,548.67,102.83,113.94,76.53,
DPP0526_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0549.TIF,Canon_60D,480.0,270.0,1.778,260.49,126.403,59.38,-0.075,-1.438,5.21,0.117,712.551,130.85,127.01,111.58,
DPP0549_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0550.TIF,Canon_60D,480.0,270.0,1.778,290.38,120.53,54.532,0.355,-1.14,5.21,0.159,1281.549,122.96,121.75,107.87,
DPP0550_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0581.TIF,Canon_60D,480.0,270.0,1.778,240.66,126.054,46.16,0.457,-0.714,5.106,0.14,1347.607,126.82,128.39,111.99,
DPP0581_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0602.TIF,Canon_60D,480.0,270.0,1.778,250.92,123.881,61.234,0.656,-0.44,5.134,0.122,722.834,123.28,125.76,115.73,
DPP0602_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0622.TIF,Canon_60D,480.0,270.0,1.778,295.72,143.464,62.074,-0.136,-1.038,5.411,0.158,1293.856,145.27,145.06,130.46,
DPP0622_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
DPP0638.TIF,Canon_60D,480.0,270.0,1.778,337.31,95.184,44.991,1.362,1.697,4.975,0.181,1532.087,92.12,98.94,83.89,
DPP0638_mask.PNG,Canon_60D,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r0d8d62edt.TIF,Nikon_D7000,480.0,270.0,1.778,204.66,137.208,66.337,0.269,-1.169,5.242,0.026,133.664,136.16,149.38,77.33,
r0d8d62edt_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r0e661e0dt.TIF,Nikon_D7000,480.0,270.0,1.778,249.63,129.309,89.508,-0.013,-1.685,5.159,0.084,704.71,133.08,131.29,109.2,
r0e661e0dt_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r1d679eaet.TIF,Nikon_D7000,480.0,270.0,1.778,273.48,149.271,37.34,-1.242,1.929,4.88,0.073,679.131,181.25,140.66,109.77,
r1d679eaet_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r2410fbc3t.TIF,Nikon_D7000,480.0,270.0,1.778,100.55,205.605,37.647,-1.318,0.491,3.674,0.022,108.595,204.56,209.25,189.42,
r2410fbc3t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r2db3db79t.TIF,Nikon_D7000,480.0,270.0,1.778,268.51,122.384,73.771,-0.039,-1.453,5.19,0.136,1013.504,129.27,122.41,104.27,
r2db3db79t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r4dbba042t.TIF,Nikon_D7000,480.0,270.0,1.778,261.35,107.402,50.167,0.529,-0.032,5.075,0.098,494.641,106.98,113.56,76.75,
r4dbba042t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r53e0b40ft.TIF,Nikon_D7000,480.0,270.0,1.778,224.16,179.543,48.612,-0.726,-0.789,4.517,0.171,1307.771,174.99,184.29,167.23,
r53e0b40ft_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r59f5b042t.TIF,Nikon_D7000,480.0,270.0,1.778,281.17,172.217,29.909,0.176,1.252,4.632,0.068,435.024,180.47,184.54,87.09,
r59f5b042t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r5b31f2bat.TIF,Nikon_D7000,480.0,270.0,1.778,296.79,124.826,56.624,0.41,-0.266,5.267,0.202,1588.819,129.29,127.38,100.0,
r5b31f2bat_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r6423cf23t.TIF,Nikon_D7000,480.0,270.0,1.778,289.12,137.899,43.771,-0.821,0.006,4.989,0.184,1491.857,146.19,136.78,121.89,
r6423cf23t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r64abc7bat.TIF,Nikon_D7000,480.0,270.0,1.778,261.07,143.503,61.276,-0.048,-0.962,5.378,0.123,725.078,153.89,143.43,116.6,
r64abc7bat_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r64fd9639t.TIF,Nikon_D7000,480.0,270.0,1.778,295.67,109.061,40.23,0.571,-0.168,5.057,0.164,677.698,108.81,119.07,58.17,
r64fd9639t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r6d1a84e7t.TIF,Nikon_D7000,480.0,270.0,1.778,168.46,182.29,50.561,-0.506,-0.669,4.644,0.066,287.599,184.45,185.59,159.63,
r6d1a84e7t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r744b52b9t.TIF,Nikon_D7000,480.0,270.0,1.778,221.21,170.791,62.116,-1.53,0.668,4.221,0.04,362.284,183.08,171.34,135.72,
r744b52b9t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r779134bft.TIF,Nikon_D7000,480.0,270.0,1.778,282.09,151.98,32.558,-0.73,0.782,4.819,0.146,960.086,162.9,150.61,130.42,
r779134bft_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r7aca24c9t.TIF,Nikon_D7000,480.0,270.0,1.778,245.38,160.493,57.646,-0.526,-0.764,5.233,0.148,1343.925,157.31,162.68,157.59,
r7aca24c9t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r80d9a021t.TIF,Nikon_D7000,480.0,270.0,1.778,273.72,157.468,30.382,0.109,1.371,4.762,0.2,1125.304,174.93,155.5,121.8,
r80d9a021t_mask.PNG,Nikon_D7000,,,,,,,,,,,,,,,"OpenCV(4.11.0) :-1: error: (-5:Bad argument) in function 'cvtColor'
> Overload resolution failed:
>  - src data type = bool is not supported
>  - Expected Ptr<cv::UMat> for argument 'src'
"
r855ab9bdt.TIF,Nikon_D7000,480.0,270.0,1.778,164.28,179.919,65.526,-1.006,-0.213,5.01,0.066,293.949,178.62,179.24,186.62,
